,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,Country,Currency,Salary,AISelect,AISent,AIBen,WorkExp,Industry
10464,0,0,1,2,6,1,17,4,2,1,72,57,14000.0,1,3,4,1.0,4
10468,0,2,2,1,32,2,15,0,1,3,177,131,270000.0,2,0,3,2.0,4
10470,0,0,2,1,7,5,15,3,0,2,70,53,9075000.0,0,6,5,5.0,9
10473,0,1,2,2,5,2,15,3,1,3,87,131,35000.0,2,4,3,10.0,11
10478,0,2,1,2,25,17,26,0,2,1,137,108,3400000.0,0,6,5,17.0,4
10481,0,2,0,1,15,10,11,1,0,1,59,41,80000.0,1,1,3,15.0,4
10483,0,1,1,1,14,11,30,1,2,0,72,57,200000.0,2,0,2,11.0,4
10485,0,1,2,6,15,9,15,5,0,1,56,41,60000.0,0,6,5,9.0,12
10486,0,0,0,5,6,4,11,3,1,3,59,41,33600.0,0,6,5,4.0,5
10489,0,3,0,6,40,30,16,5,2,1,116,98,142000.0,0,6,5,30.0,4
10492,0,2,2,2,15,11,15,7,1,3,155,75,7500000.0,2,0,4,11.0,10
10493,0,0,2,1,5,2,15,0,1,3,72,57,1600000.0,1,4,4,3.0,4
10494,0,1,1,1,9,5,12,2,1,3,72,57,2100000.0,1,0,3,6.0,2
10498,0,2,2,2,16,12,11,3,2,1,72,57,3200000.0,2,0,2,12.0,4
10501,0,1,1,1,17,10,2,5,0,1,56,41,47000.0,2,0,2,10.0,10
10504,0,1,1,2,10,5,11,1,0,1,159,112,600000.0,1,0,2,5.0,2
10505,0,0,2,6,6,3,11,1,1,3,177,131,160000.0,0,6,5,4.0,4
10506,0,1,2,1,7,4,11,5,0,1,72,57,4300000.0,0,6,5,4.0,2
10507,0,1,2,1,16,5,15,5,2,1,177,131,77000.0,2,3,3,5.0,4
10512,0,1,0,1,10,3,15,5,2,1,72,57,300000.0,0,6,5,3.0,4
10513,0,1,2,1,4,4,11,0,1,3,72,57,2900000.0,2,0,4,5.0,4
10516,0,1,1,1,6,5,11,4,0,1,74,59,240000000.0,0,6,5,5.0,4
10518,0,3,0,6,3,4,0,4,2,1,164,120,100000000.0,2,4,2,29.0,12
10519,0,1,2,1,10,8,11,5,2,0,72,57,300000.0,2,4,2,8.0,4
10525,0,2,2,1,35,18,21,1,0,1,177,131,160000.0,2,4,4,18.0,5
10531,0,1,0,2,9,4,22,3,1,3,59,41,50000.0,1,2,3,3.0,7
10538,0,1,1,2,5,4,11,3,0,1,72,57,1800000.0,1,4,4,4.0,2
10539,2,3,0,2,32,27,7,0,1,3,56,41,70000.0,2,4,2,27.0,4
10540,0,2,0,1,20,15,15,5,2,2,115,41,66877.0,0,6,5,15.0,4
10543,2,2,0,4,15,5,0,6,1,3,159,112,480000.0,2,4,3,6.0,3
10544,0,2,0,2,25,20,11,2,1,3,175,44,165000.0,0,6,5,20.0,1
10548,0,1,0,1,10,4,11,2,1,3,30,24,170000.0,2,1,0,4.0,9
10549,0,4,1,4,33,31,12,2,1,3,56,41,95000.0,0,6,5,30.0,4
10551,0,3,0,2,35,28,12,3,1,3,59,41,65000.0,0,6,5,28.0,4
10556,0,0,0,6,10,5,11,3,1,3,175,44,90000.0,0,6,5,5.0,1
10558,0,0,0,1,5,2,15,4,2,1,72,57,400000.0,2,0,4,2.0,3
10560,0,1,2,1,10,6,15,7,2,1,136,106,330000.0,0,6,5,6.0,1
10563,0,2,1,4,23,14,0,7,1,3,72,57,720000.0,2,4,4,14.0,3
10565,0,1,2,2,22,12,15,5,0,1,81,64,12050000.0,0,6,5,12.0,4
10570,0,0,0,1,5,0,13,5,2,1,59,41,45000.0,2,4,2,1.0,4
10574,0,3,2,2,40,30,15,0,1,3,8,7,150000.0,1,3,2,30.0,4
10580,2,2,2,2,20,15,20,2,2,1,76,41,130000.0,0,6,5,20.0,4
10583,0,1,1,1,8,4,14,3,1,3,72,57,1050000.0,1,0,2,4.0,4
10584,0,2,1,2,15,10,7,3,2,1,149,41,50000.0,0,6,5,10.0,4
10586,0,2,2,6,17,15,13,7,1,3,177,131,305000.0,0,6,5,15.0,4
10590,0,1,0,1,8,6,14,1,0,1,72,57,2500000.0,2,4,4,6.0,4
10591,2,0,1,2,5,1,0,8,1,3,174,0,84000.0,2,1,2,2.0,3
10592,0,0,1,1,5,3,14,4,2,1,174,0,108000.0,2,0,2,5.0,9
10596,0,3,2,2,25,24,30,5,0,1,72,57,3550000.0,0,6,5,23.0,4
10597,0,2,0,2,28,20,24,0,2,1,9,41,110000.0,1,1,2,20.0,4
10599,0,2,0,1,23,15,11,3,1,3,175,44,86900.0,0,6,5,15.0,4
10602,0,1,1,1,5,2,17,4,1,3,74,59,2000.0,0,6,5,2.0,10
10604,0,1,0,2,8,7,15,5,2,1,72,57,1000000.0,1,1,4,9.0,4
10605,0,1,0,2,10,9,15,7,1,3,55,41,66000.0,0,6,5,9.0,4
10606,0,1,2,2,12,2,11,0,1,3,76,41,90000.0,0,6,5,5.0,1
10608,0,3,2,1,43,32,24,3,2,1,175,44,72500.0,1,1,3,32.0,4
10609,0,2,0,1,20,10,9,7,2,1,148,113,216000.0,0,6,5,10.0,4
10610,0,1,2,1,9,5,15,5,2,1,148,113,96000.0,0,6,5,9.0,7
10612,0,1,1,1,4,3,15,9,2,0,72,36,50000.0,1,1,3,3.0,0
10615,0,0,0,1,8,0,11,2,1,3,160,26,85000.0,2,4,4,0.0,1
10618,0,2,0,2,26,20,19,0,1,3,8,7,288530.0,0,6,5,21.0,4
10620,0,1,1,1,6,2,11,1,2,1,114,97,800000.0,2,0,4,2.0,0
10621,0,1,1,2,7,2,13,5,1,3,160,26,86.0,0,6,5,2.0,4
10630,0,0,0,1,7,3,11,4,0,1,72,57,2400000.0,2,0,3,2.0,4
10631,0,1,1,1,10,6,12,2,1,3,72,57,1350000.0,0,6,5,6.0,4
10634,0,1,2,2,8,7,11,7,2,1,7,41,50000.0,0,6,5,8.0,4
10637,0,2,2,1,20,6,15,4,0,1,78,55,432000.0,2,4,4,6.0,4
10639,0,1,2,1,15,11,17,1,2,0,72,57,1150000.0,1,3,2,11.0,4
10640,0,1,0,2,14,4,11,6,0,0,79,41,45000.0,0,6,5,4.0,7
10641,0,0,1,1,12,3,11,4,0,1,41,33,400000.0,2,0,4,3.0,1
10644,0,1,1,1,8,5,10,5,1,3,73,54,60000000.0,1,3,2,4.0,12
10645,0,1,1,2,12,8,16,5,2,0,124,131,12000.0,2,4,4,8.0,4
10646,0,3,0,4,13,6,4,5,2,2,25,13,78000.0,0,6,5,24.0,9
10647,0,1,2,1,12,8,11,4,2,1,59,41,70000.0,0,6,5,9.0,4
10648,0,1,2,1,9,5,7,3,0,1,13,12,8000000.0,2,0,3,5.0,12
10649,0,2,2,2,30,12,16,3,1,3,154,41,68705.0,0,6,5,12.0,4
10650,0,2,2,2,24,18,15,5,2,1,131,103,500000.0,1,2,2,23.0,4
10651,0,1,1,2,4,4,11,3,3,3,72,57,15.0,0,6,5,4.0,4
10654,0,1,2,2,10,5,11,6,1,3,175,44,125000.0,0,6,5,5.0,4
10658,0,1,1,1,5,2,15,1,2,0,124,131,30000.0,2,0,4,4.0,7
10659,0,1,0,1,11,8,11,2,2,1,177,131,245000.0,2,0,3,8.0,4
10662,0,1,2,1,9,7,15,7,2,1,59,41,70000.0,0,6,5,9.0,4
10663,0,1,0,1,4,4,14,2,1,3,8,7,125000.0,1,0,4,4.0,12
10664,0,3,0,6,20,17,2,4,2,1,175,44,75000.0,2,0,4,18.0,4
10671,0,1,1,1,5,2,15,5,2,1,172,130,30000000.0,0,6,5,2.0,1
10682,0,3,2,2,35,25,16,4,0,1,58,131,50000.0,2,0,2,30.0,9
10684,0,2,2,1,25,17,30,5,0,1,8,7,160000.0,0,6,5,17.0,12
10685,0,2,2,6,30,20,24,2,1,3,6,6,25000.0,0,6,5,20.0,4
10686,0,1,0,1,13,7,11,3,1,3,72,57,2260000.0,1,0,2,7.0,9
10694,0,1,2,2,15,2,13,0,1,3,136,106,110000.0,2,4,2,2.0,9
10695,0,1,2,1,13,11,11,7,2,1,177,131,196000.0,1,0,2,11.0,0
10696,0,1,2,1,19,13,15,9,2,1,177,131,300000.0,0,6,5,19.0,9
10697,0,2,2,2,17,14,21,2,2,1,72,57,6000000.0,1,4,4,14.0,12
10699,0,1,0,1,10,1,11,0,2,1,78,55,336000.0,0,6,5,1.0,9
10708,0,4,0,2,43,34,21,1,2,1,175,44,85000.0,2,0,2,34.0,1
10710,0,2,0,2,25,13,15,5,0,1,59,41,50000.0,1,2,0,15.0,12
10718,0,1,1,6,10,12,20,3,2,0,74,59,5400000000.0,2,4,4,9.0,1
10727,0,1,2,1,12,10,15,2,1,3,177,131,260000.0,2,4,4,10.0,4
10731,0,1,0,2,16,15,15,5,0,1,59,41,82500.0,0,6,5,15.0,4
10732,0,1,2,1,11,6,14,2,2,1,72,57,2000000.0,0,6,5,5.0,1
10733,0,1,0,2,14,5,7,2,2,1,175,44,55000.0,0,6,5,5.0,10
10734,0,0,0,1,9,2,15,0,2,0,59,41,46000.0,1,1,4,2.0,12
10739,0,1,0,2,7,6,11,7,2,1,175,44,51500.0,1,0,4,6.0,4
10742,0,2,0,2,24,11,2,2,2,1,59,41,320000.0,0,6,5,11.0,4
10748,0,1,1,1,4,3,15,5,0,0,72,57,720000.0,0,6,5,3.0,4
10749,0,1,0,6,16,10,15,5,0,1,159,112,600000.0,2,4,2,10.0,4
10751,0,1,2,2,17,13,15,4,2,1,120,131,70000.0,2,4,2,12.0,4
10754,0,3,2,1,38,27,11,5,1,3,8,7,160000.0,2,2,0,37.0,9
10758,0,1,1,2,5,4,11,1,1,3,61,41,12000.0,2,1,2,4.0,12
10759,0,1,1,1,12,9,11,0,1,3,72,57,2000000.0,0,6,5,9.0,1
10760,0,2,0,2,18,11,24,5,2,1,9,41,68600.0,0,6,5,11.0,4
10761,0,1,0,1,7,2,27,7,1,3,155,75,6000000.0,2,0,2,2.0,4
10762,0,1,2,2,13,10,11,4,0,1,114,97,3000000.0,1,3,2,10.0,4
10763,0,1,0,1,15,10,9,3,2,1,9,41,73000.0,1,1,2,12.0,1
10764,0,2,0,2,20,15,13,2,1,3,72,57,7000000.0,2,0,4,16.0,4
10769,2,1,1,2,12,2,0,7,1,3,34,28,180000.0,2,4,3,2.0,3
10773,0,1,0,1,8,4,15,3,0,1,175,44,66600.0,2,4,2,4.0,2
10775,0,2,0,1,9,6,11,3,1,3,177,131,170000.0,0,6,5,6.0,1
10777,0,2,0,1,20,15,11,3,1,3,115,41,105000.0,1,4,4,15.0,1
10778,0,0,2,1,4,1,11,3,2,1,72,57,500000.0,2,0,4,1.0,4
10780,0,0,2,1,5,2,15,7,1,3,124,102,1512000.0,1,4,2,2.0,4
10781,0,2,2,6,24,16,15,6,1,3,59,41,60000.0,1,1,3,16.0,0
10784,0,1,0,2,9,4,20,5,2,1,160,26,100000.0,0,6,5,5.0,4
10787,0,1,2,2,14,9,11,3,2,1,175,44,82000.0,1,0,3,10.0,10
10788,0,2,0,1,17,15,11,7,2,1,72,57,3000000.0,1,0,2,15.0,4
10789,0,0,1,1,6,3,15,5,2,0,72,57,1500000.0,2,0,1,3.0,4
10793,0,1,1,1,10,7,15,1,2,0,72,57,600000.0,0,6,5,7.0,4
10795,0,0,2,2,7,0,15,3,1,3,175,44,43000.0,2,0,3,1.0,4
10796,0,1,0,2,6,0,11,5,1,3,45,35,444000.0,2,0,4,1.0,3
10798,0,0,1,1,5,0,12,2,2,1,72,57,4640000.0,1,0,4,1.0,4
10800,0,1,2,2,16,7,11,3,2,1,38,41,95000.0,0,6,5,7.0,4
10806,0,1,1,2,20,9,15,3,1,3,162,127,1200000.0,2,0,4,8.0,1
10809,0,1,0,0,12,8,15,5,2,0,160,26,79950.0,0,6,5,12.0,10
10811,0,1,2,1,15,11,15,2,2,1,72,57,1850000.0,2,0,4,11.0,4
10812,0,1,1,1,9,5,15,5,1,3,13,12,90000.0,1,0,4,5.0,12
10814,0,0,2,5,5,4,1,5,2,2,174,0,200000.0,1,0,2,5.0,1
10818,0,1,2,2,11,7,19,4,2,1,56,41,100000.0,2,0,2,6.0,4
10821,0,1,2,2,15,0,11,4,0,1,159,112,480000.0,1,3,2,2.0,4
10823,0,1,0,1,10,6,14,3,2,0,164,120,1580000.0,1,2,4,6.0,4
10826,0,2,0,1,8,4,14,5,2,0,89,41,51600.0,2,0,1,25.0,1
10830,0,1,2,1,13,6,12,2,2,1,8,7,130000.0,1,0,3,6.0,9
10831,0,3,0,4,23,23,27,3,2,0,56,41,385000.0,1,1,2,22.0,1
10834,0,1,0,2,6,3,17,5,1,3,72,57,300000.0,2,1,4,3.0,12
10839,0,2,0,1,23,17,15,5,2,1,81,64,7000000.0,2,0,4,17.0,0
10842,0,1,2,1,12,8,15,5,1,3,72,57,150000.0,2,4,1,8.0,2
10843,0,1,0,1,9,6,11,8,2,1,131,103,16000.0,0,6,5,6.0,9
10844,0,2,2,1,25,20,15,5,0,1,177,131,250000.0,1,0,4,20.0,5
10845,0,1,1,1,13,6,32,7,2,1,59,41,43000.0,1,4,3,6.0,4
10846,0,1,1,2,7,5,15,5,2,0,162,127,900000.0,2,0,3,5.0,4
10847,0,1,1,1,8,4,15,5,1,3,124,102,2400000.0,2,0,4,4.0,4
10850,0,1,2,1,10,8,15,0,2,1,177,131,300000.0,2,1,2,8.0,4
10851,0,1,2,2,13,7,1,4,0,1,174,131,210000.0,2,0,2,7.0,4
10852,0,2,0,7,20,11,19,2,1,3,173,131,60000.0,0,6,5,15.0,2
10853,0,1,0,2,10,5,11,2,1,3,115,41,71000.0,0,6,5,5.0,1
10854,0,0,2,1,11,4,11,5,2,1,177,131,140000.0,1,0,2,4.0,4
10856,0,1,2,2,19,12,17,5,1,3,56,41,100000.0,2,4,4,12.0,4
10863,0,1,0,1,4,4,11,3,0,1,72,57,2050000.0,1,0,3,4.0,4
10868,2,3,2,6,35,30,24,1,0,1,160,26,200000.0,0,6,5,30.0,7
10869,0,1,2,1,12,8,15,3,1,3,72,57,2000000.0,2,4,4,9.0,4
10874,0,2,0,1,19,8,11,5,2,1,8,7,160000.0,1,4,4,8.0,2
10875,0,0,0,1,6,2,15,2,1,3,72,57,400000.0,1,1,2,2.0,4
10878,0,3,0,6,30,27,11,0,1,3,79,41,35000.0,1,0,2,27.0,4
10879,0,1,2,1,9,5,15,5,2,1,72,57,1600000.0,0,6,5,5.0,4
10883,0,1,2,2,8,3,14,3,2,3,56,41,50000.0,0,6,5,6.0,4
10884,0,0,0,0,10,2,11,3,2,1,78,55,240000.0,2,4,2,2.0,4
10890,0,1,0,1,10,3,17,5,2,1,116,98,132000.0,2,0,3,3.0,10
10891,0,1,0,1,8,5,15,1,1,3,72,57,1000000.0,0,6,5,5.0,9
10892,0,1,0,1,3,2,11,2,2,1,159,112,520000.0,1,0,2,2.0,1
10893,2,1,2,5,14,10,10,5,2,1,59,41,56000.0,1,1,3,9.0,7
10895,0,1,1,1,9,6,15,3,2,1,8,7,120000.0,2,0,3,9.0,12
10896,0,1,2,1,6,2,15,0,2,1,131,103,144000.0,2,0,2,2.0,4
10897,0,1,2,2,11,6,14,3,1,3,131,41,60000.0,2,0,3,6.0,4
10902,2,1,0,1,11,5,32,6,2,1,59,41,48000.0,1,1,2,5.0,7
10907,0,1,0,1,6,1,14,0,0,1,155,75,6960000.0,2,0,4,1.0,4
10908,0,0,0,1,11,6,7,1,2,1,59,41,60000.0,0,6,5,6.0,4
10910,0,2,2,2,22,17,12,6,2,1,56,41,50000.0,2,4,2,22.0,4
10911,0,1,1,1,8,4,15,5,1,3,72,57,3500000.0,2,4,1,2.0,4
10912,0,2,1,1,15,10,11,1,1,3,124,102,2319000.0,0,6,5,14.0,4
10914,0,1,2,1,12,8,11,5,1,3,136,106,264000.0,1,0,4,8.0,2
10916,0,0,0,5,3,1,15,5,2,1,177,131,70000.0,2,0,2,1.0,12
10917,0,1,0,1,8,4,15,0,1,3,164,120,159000.0,2,0,2,4.0,9
10918,0,3,0,2,25,23,15,1,2,0,59,41,135000.0,2,0,2,23.0,4
10919,0,3,2,2,27,23,12,4,0,1,164,120,1680000.0,0,6,5,27.0,4
10922,0,3,0,1,41,33,19,3,2,0,8,7,215000.0,1,0,3,33.0,10
10923,0,1,0,1,19,11,11,5,2,1,25,13,70000.0,0,6,5,12.0,4
10925,0,1,0,7,12,12,16,5,0,1,164,131,72000.0,1,0,2,12.0,9
10926,0,1,1,2,8,5,15,1,2,1,13,12,650000.0,2,4,1,5.0,1
10928,0,1,0,1,10,6,3,2,2,0,177,131,150000.0,2,0,4,6.0,12
10931,0,1,0,2,9,4,11,3,1,3,122,96,840000.0,1,0,2,4.0,12
10934,0,1,2,2,17,8,21,4,2,0,154,41,48000.0,2,4,4,17.0,12
10936,0,3,2,1,30,27,15,5,0,1,116,98,195000.0,1,0,3,30.0,2
10940,0,2,0,4,23,17,0,7,2,1,154,41,45000.0,2,2,3,17.0,9
10943,0,1,2,2,12,8,7,3,2,1,131,103,420000.0,2,0,2,10.0,4
10945,0,2,2,2,20,15,11,5,0,1,137,108,3360000.0,2,0,2,18.0,4
10952,0,3,2,2,28,25,15,3,0,1,72,131,120000.0,2,1,2,28.0,8
10953,0,1,0,1,8,5,15,1,1,3,72,57,600000.0,1,3,4,8.0,4
10955,0,3,2,2,13,10,11,5,1,3,124,102,1560000.0,0,6,5,13.0,12
10962,0,1,0,1,13,11,14,3,0,1,30,24,130000.0,0,6,5,11.0,4
10964,0,2,0,2,20,12,16,3,1,3,41,33,1000000.0,1,1,0,12.0,12
10967,0,3,0,2,30,20,11,0,2,1,59,41,101000.0,0,6,5,21.0,4
10968,0,0,2,6,10,4,11,5,1,3,131,103,338000.0,0,6,5,4.0,4
10978,0,2,2,1,24,22,11,4,0,1,174,0,360000.0,1,4,2,22.0,4
10979,0,1,0,1,7,5,11,2,2,1,119,94,550000.0,1,1,3,6.0,1
10981,0,1,1,1,13,5,15,3,0,1,175,44,90000.0,2,0,3,5.0,4
10982,0,0,1,6,5,2,15,4,1,3,137,108,550000.0,2,0,2,2.0,9
10987,0,0,1,2,8,3,15,5,2,1,122,96,610000.0,1,0,4,3.0,12
10991,0,1,0,1,13,3,15,7,2,1,69,50,900000.0,2,4,1,3.0,5
10993,0,1,0,2,20,4,15,1,0,1,81,64,3250000.0,2,1,0,4.0,4
10995,0,2,2,1,23,17,15,2,1,3,72,57,1900000.0,0,6,5,16.0,5
10997,2,4,0,4,27,19,18,3,1,3,59,41,83000.0,1,1,3,27.0,2
10998,0,1,0,2,4,0,24,2,1,3,72,57,4.0,1,0,4,1.0,4
11009,0,1,2,1,10,6,15,5,2,1,150,41,45000.0,2,0,2,6.0,10
11013,0,2,0,1,20,17,30,1,2,1,72,57,12000000.0,2,4,2,17.0,1
11017,0,1,2,2,7,3,15,4,0,1,59,41,90000.0,2,0,2,6.0,12
11019,0,1,0,1,8,4,15,0,1,3,72,57,2300000.0,0,6,5,4.0,4
11020,0,1,0,1,13,8,15,7,1,3,106,90,20229.0,1,0,2,8.0,4
11026,0,1,1,1,7,4,15,4,1,3,13,12,240000.0,2,4,4,4.0,4
11027,0,2,0,2,16,11,15,3,0,1,122,96,850000.0,2,0,0,11.0,9
11028,0,1,1,1,10,6,3,7,2,1,84,65,3000000.0,2,4,4,7.0,2
11030,0,0,2,5,7,1,11,2,1,3,59,41,13000.0,2,0,3,1.0,4
11033,0,2,1,4,4,2,4,1,1,3,154,41,30000.0,1,1,4,4.0,12
11034,0,1,2,2,9,7,11,0,2,1,154,41,46000.0,2,0,2,7.0,4
11045,0,1,0,1,7,3,15,0,1,3,59,41,70000.0,2,1,3,3.0,1
11048,0,2,0,2,25,19,27,5,2,1,9,41,62500.0,0,6,5,19.0,4
11049,0,0,1,1,7,1,11,0,1,3,72,57,1200000.0,2,0,2,1.0,1
11050,0,1,0,2,25,14,11,3,2,0,55,41,90000.0,1,1,3,14.0,4
11053,0,1,1,6,16,11,15,1,0,1,115,41,50000.0,0,6,5,11.0,4
11056,0,0,0,1,6,3,15,7,2,1,59,41,45000.0,1,0,2,3.0,12
11057,0,0,1,1,5,5,15,4,2,1,136,131,120000.0,2,4,4,5.0,4
11058,0,1,2,2,11,6,11,3,2,1,137,108,180000.0,2,1,3,6.0,0
11060,0,1,0,2,25,10,13,3,2,1,59,41,99000.0,2,0,4,10.0,4
11069,0,2,2,1,20,16,11,3,2,1,72,57,6600000.0,1,1,2,16.0,4
11072,0,2,1,6,20,20,15,3,0,1,79,41,70000.0,0,6,5,20.0,12
11079,0,5,2,6,43,43,11,7,2,1,177,131,105000.0,0,6,5,43.0,12
11081,0,1,0,0,12,9,15,1,0,1,45,35,785000.0,1,1,3,9.0,12
11084,0,0,1,1,4,2,12,6,1,3,177,131,150000.0,0,6,5,2.0,4
11092,0,1,2,2,12,9,11,0,1,3,74,59,480000000.0,2,0,2,9.0,4
11097,0,1,0,1,2,0,14,5,1,3,13,12,240000.0,2,0,2,1.0,4
11098,0,3,0,2,38,26,15,7,2,1,79,41,70000.0,1,0,2,28.0,9
11099,0,1,0,6,10,7,14,3,2,1,122,96,10000000.0,1,0,0,7.0,12
11103,0,1,1,1,3,2,10,8,1,3,72,57,264000.0,2,0,4,3.0,4
11107,0,0,1,1,2,0,15,5,1,3,72,57,240000.0,1,3,2,2.0,4
11108,0,1,2,2,13,9,11,4,0,0,160,26,118000.0,2,0,2,9.0,9
11111,0,0,2,1,5,0,15,3,1,3,130,101,725000.0,1,4,3,1.0,4
11112,0,2,0,1,18,16,21,1,0,1,74,59,10000000000.0,1,0,2,16.0,4
11114,0,1,0,1,6,1,15,0,2,1,55,41,42000.0,2,0,0,1.0,12
11117,0,2,2,2,13,13,13,3,2,1,59,41,90000.0,0,6,5,13.0,4
11119,0,1,2,1,6,2,7,2,2,1,159,112,600000.0,2,1,2,2.0,7
11121,2,3,0,2,28,20,21,7,0,0,174,0,600000.0,2,0,4,25.0,4
11122,0,1,0,6,10,3,14,4,0,1,41,33,600000.0,1,1,0,3.0,12
11127,0,1,2,2,16,5,11,3,1,3,41,33,880000.0,0,6,5,6.0,4
11132,0,1,1,1,15,10,15,1,2,1,124,102,1400000.0,2,1,3,12.0,4
11135,0,1,0,2,14,10,11,6,1,3,115,41,75000.0,2,0,4,12.0,12
11136,0,3,1,4,21,14,0,0,2,1,56,41,40000.0,2,1,3,14.0,3
11137,0,1,0,1,10,8,12,0,1,3,131,103,228000.0,2,4,4,8.0,4
11142,0,2,2,1,15,10,15,0,2,1,177,131,200000.0,0,6,5,10.0,4
11143,0,2,2,1,18,13,15,5,1,3,170,131,12000.0,2,0,2,11.0,4
11145,0,2,1,1,15,11,3,7,0,1,159,112,1200000.0,0,6,5,13.0,4
11148,0,1,1,1,12,7,15,1,0,1,181,135,2000000000.0,2,4,2,7.0,4
11151,0,1,0,1,5,1,19,0,0,1,99,91,36000.0,2,0,4,2.0,4
11154,0,2,2,1,20,15,14,3,2,1,74,131,6350.0,1,0,4,16.0,9
11155,0,1,2,1,16,12,15,5,2,1,175,44,100000.0,0,6,5,12.0,1
11160,0,1,0,1,11,4,11,3,2,1,8,7,115000.0,2,4,2,4.0,4
11161,0,1,0,2,9,4,11,3,1,3,122,96,925000.0,1,0,0,4.0,12
11163,0,1,0,2,9,2,15,0,1,3,56,41,38000.0,1,0,2,2.0,4
11167,0,2,0,1,31,22,15,3,1,3,116,98,166000.0,2,4,4,22.0,4
11169,0,1,0,2,11,8,17,3,2,1,72,57,1500000.0,0,6,5,8.0,4
11170,0,1,2,1,8,6,15,4,0,1,71,60,12000000.0,0,6,5,6.0,1
11171,0,1,0,1,8,3,9,0,0,0,155,75,6000000.0,2,4,1,3.0,4
11172,0,1,0,2,6,3,17,3,2,0,41,33,1300000.0,1,1,2,3.0,4
11174,2,1,0,0,2,1,32,5,2,1,55,41,50000.0,2,0,4,5.0,4
11178,0,1,1,1,12,7,15,3,2,0,72,57,1080000.0,2,0,4,8.0,4
11179,0,2,0,1,15,10,15,5,2,1,59,41,42000.0,1,0,2,10.0,4
11182,0,1,0,7,12,3,15,1,0,1,160,26,70200.0,0,6,5,3.0,12
11185,0,1,2,1,10,7,27,0,1,3,41,33,1000000.0,1,4,3,7.0,4
11186,0,0,0,1,5,2,19,6,2,1,72,57,1000000.0,1,3,2,2.0,2
11188,0,2,1,4,14,6,15,4,0,1,170,125,324000.0,2,4,4,16.0,9
11192,0,2,2,2,19,17,11,5,2,1,56,41,58000.0,2,0,2,17.0,4
11193,0,2,2,1,25,15,11,4,0,1,8,7,750000.0,0,6,5,15.0,9
11198,0,0,0,1,8,3,13,6,1,3,59,41,50000.0,2,0,4,3.0,4
11200,0,1,1,2,6,5,11,3,1,3,56,41,65000.0,0,6,5,5.0,4
11201,0,2,0,2,19,13,15,1,2,1,159,112,600000.0,1,0,2,13.0,4
11206,0,4,0,2,36,34,11,0,2,2,152,141,1400000.0,2,4,2,34.0,5
11213,0,1,2,6,3,3,15,3,1,3,73,54,134000000.0,0,6,5,3.0,1
11221,0,2,0,1,22,18,15,0,2,1,136,106,144000.0,2,0,2,20.0,12
11224,0,0,1,5,6,0,13,0,1,3,55,41,30000.0,1,1,3,1.0,4
11227,0,1,0,2,9,2,11,5,2,1,152,141,260000.0,2,0,4,2.0,4
11232,0,1,0,1,11,6,17,3,2,1,148,113,120000.0,1,1,3,6.0,4
11234,0,1,2,5,5,4,11,5,2,1,175,44,97000.0,2,0,2,5.0,4
11237,0,1,0,1,18,13,15,5,1,3,41,33,1800000.0,2,4,3,13.0,1
11241,0,1,0,2,12,4,15,3,0,1,59,41,64000.0,0,6,5,4.0,4
11243,0,0,1,1,5,1,15,1,2,1,75,58,10000.0,2,0,2,2.0,10
11244,0,0,1,1,2,0,15,4,1,3,73,54,4300000.0,2,4,1,1.0,9
11245,0,0,0,2,12,0,15,2,1,3,177,131,105000.0,1,0,2,1.0,10
11248,0,1,2,1,10,8,27,6,1,3,181,135,795000000.0,1,0,4,11.0,4
11252,2,0,1,1,8,1,10,5,0,1,8,7,70000.0,1,4,2,7.0,4
11256,0,1,0,2,5,1,4,2,2,1,159,112,600000.0,2,4,4,2.0,4
11259,0,2,0,2,14,8,15,9,2,1,59,41,74000.0,0,6,5,14.0,9
11260,0,2,2,1,25,13,15,0,0,1,59,41,47072.0,0,6,5,13.0,3
11261,0,1,2,6,10,2,15,7,2,1,131,103,140000.0,2,0,0,2.0,12
11262,0,2,2,1,28,24,24,0,2,1,30,24,400000.0,1,1,2,24.0,1
11264,0,1,0,2,16,11,11,0,2,1,16,41,100000.0,0,6,5,11.0,7
11270,0,1,0,1,7,5,11,5,2,1,175,44,74000.0,2,0,0,5.0,4
11272,0,1,0,5,10,6,15,5,0,1,59,41,48000.0,2,0,3,6.0,4
11274,0,3,0,1,41,20,13,4,0,2,115,41,47000.0,0,6,5,21.0,7
11276,0,2,2,1,20,12,19,7,1,3,154,41,70000.0,2,4,4,12.0,0
11277,0,1,2,1,10,6,11,3,1,3,7,131,84000.0,1,0,4,6.0,4
11278,0,1,0,2,8,3,11,0,1,3,159,112,700000.0,1,2,0,3.0,4
11280,0,1,0,1,14,8,15,2,2,1,81,64,18000000.0,2,4,4,8.0,9
11281,0,1,0,1,10,4,13,5,0,1,30,24,97500.0,2,0,3,6.0,9
11282,0,0,0,1,3,1,11,1,2,1,148,113,90000.0,2,0,4,1.0,1
11284,0,1,1,1,8,4,15,4,1,3,72,57,1080000.0,1,0,3,3.0,7
11287,0,2,0,4,20,5,27,5,2,1,59,41,80000.0,1,0,3,16.0,4
11288,0,2,2,6,7,2,11,7,1,3,175,44,26500.0,1,0,3,2.0,3
